Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum
1737041976.621642,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,1
1737041976.623214,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,1
1737041977.461619,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,2
1737041977.462245,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,2
1737041978.461686,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,3
1737041978.46236,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,3
1737041979.461762,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,4
1737041979.462391,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,4
1737041980.461777,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,5
1737041980.462165,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,5
1737041981.461467,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,6
1737041981.462118,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,6
1737041982.461674,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,7
1737041982.462297,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,7
1737041983.461454,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,8
1737041983.462137,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,8
1737041984.461513,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,9
1737041984.462126,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,9
1737041985.461721,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,10
1737041985.462309,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,10
1737041986.461657,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,11
1737041986.462214,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,11
1737041987.46167,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,12
1737041987.462295,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,12
1737041988.461573,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,13
1737041988.462137,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,13
1737041989.461659,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,14
1737041989.462256,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,14
1737041990.461409,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,15
1737041990.462112,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,15
1737041991.461429,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,16
1737041991.461787,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,16
1737041992.481467,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,17
1737041992.482105,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,17
1737041993.481642,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,18
1737041993.482277,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,18
1737041994.481496,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,19
1737041994.482125,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,19
1737041995.481469,172.16.32.50,172.16.32.51,10.45.0.7,10.45.0.1,142,20
1737041995.482079,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.7,142,20
