Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum
1737041976.429271032,NA,NA,10.45.0.7,10.45.0.1,84,1
1737041976.629303703,NA,NA,10.45.0.1,10.45.0.7,84,1
1737041977.429851108,NA,NA,10.45.0.7,10.45.0.1,84,2
1737041977.468641156,NA,NA,10.45.0.1,10.45.0.7,84,2
1737041978.431694070,NA,NA,10.45.0.7,10.45.0.1,84,3
1737041978.468560424,NA,NA,10.45.0.1,10.45.0.7,84,3
1737041979.432666398,NA,NA,10.45.0.7,10.45.0.1,84,4
1737041979.468469735,NA,NA,10.45.0.1,10.45.0.7,84,4
1737041980.433872248,NA,NA,10.45.0.7,10.45.0.1,84,5
1737041980.468386572,NA,NA,10.45.0.1,10.45.0.7,84,5
1737041981.434470807,NA,NA,10.45.0.7,10.45.0.1,84,6
1737041981.468797960,NA,NA,10.45.0.1,10.45.0.7,84,6
1737041982.434946338,NA,NA,10.45.0.7,10.45.0.1,84,7
1737041982.468712907,NA,NA,10.45.0.1,10.45.0.7,84,7
1737041983.436794840,NA,NA,10.45.0.7,10.45.0.1,84,8
1737041983.468624570,NA,NA,10.45.0.1,10.45.0.7,84,8
1737041984.437878328,NA,NA,10.45.0.7,10.45.0.1,84,9
1737041984.468544762,NA,NA,10.45.0.1,10.45.0.7,84,9
1737041985.439627297,NA,NA,10.45.0.7,10.45.0.1,84,10
1737041985.468456349,NA,NA,10.45.0.1,10.45.0.7,84,10
1737041986.441542082,NA,NA,10.45.0.7,10.45.0.1,84,11
1737041986.468363931,NA,NA,10.45.0.1,10.45.0.7,84,11
1737041987.443433443,NA,NA,10.45.0.7,10.45.0.1,84,12
1737041987.468781023,NA,NA,10.45.0.1,10.45.0.7,84,12
1737041988.444828815,NA,NA,10.45.0.7,10.45.0.1,84,13
1737041988.468693549,NA,NA,10.45.0.1,10.45.0.7,84,13
1737041989.446753243,NA,NA,10.45.0.7,10.45.0.1,84,14
1737041989.468608330,NA,NA,10.45.0.1,10.45.0.7,84,14
1737041990.447726676,NA,NA,10.45.0.7,10.45.0.1,84,15
1737041990.468521541,NA,NA,10.45.0.1,10.45.0.7,84,15
1737041991.448726591,NA,NA,10.45.0.7,10.45.0.1,84,16
1737041991.468437930,NA,NA,10.45.0.1,10.45.0.7,84,16
1737041992.449998068,NA,NA,10.45.0.7,10.45.0.1,84,17
1737041992.488354273,NA,NA,10.45.0.1,10.45.0.7,84,17
1737041993.450685491,NA,NA,10.45.0.7,10.45.0.1,84,18
1737041993.488779953,NA,NA,10.45.0.1,10.45.0.7,84,18
1737041994.451831877,NA,NA,10.45.0.7,10.45.0.1,84,19
1737041994.488694214,NA,NA,10.45.0.1,10.45.0.7,84,19
1737041995.452874992,NA,NA,10.45.0.7,10.45.0.1,84,20
1737041995.488601294,NA,NA,10.45.0.1,10.45.0.7,84,20
