,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
0,1738425723.4893713,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,1,gnb,request,,
1,1738425723.4900472,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,1,gnb,response,,
2,1738425723.4893804,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,2,gnb,request,,9.059906005859375e-06
3,1738425723.4900475,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,2,gnb,response,,2.384185791015625e-07
4,1738425723.50935,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,3,gnb,request,,0.019969701766967773
5,1738425723.5100317,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,3,gnb,response,,0.01998424530029297
6,1738425723.5093567,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,4,gnb,request,,6.67572021484375e-06
7,1738425723.5100434,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,4,gnb,response,,1.1682510375976562e-05
8,1738425723.5294285,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,5,gnb,request,,0.020071744918823242
9,1738425723.5301003,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,5,gnb,response,,0.020056962966918945
10,1738425723.54949,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,6,gnb,request,,0.020061492919921875
11,1738425723.5501468,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,6,gnb,response,,0.020046472549438477
12,1738425723.549505,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,7,gnb,request,,1.5020370483398438e-05
13,1738425723.5501468,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,7,gnb,response,,0.0
14,1738425723.569318,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,8,gnb,request,,0.019813060760498047
15,1738425723.569981,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,8,gnb,response,,0.019834280014038086
16,1738425723.5893052,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,9,gnb,request,,0.019987106323242188
17,1738425723.589995,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,9,gnb,response,,0.020013809204101562
18,1738425723.589311,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,10,gnb,request,,5.7220458984375e-06
19,1738425723.590006,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,10,gnb,response,,1.1205673217773438e-05
20,1738425723.609573,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,11,gnb,request,,0.02026200294494629
21,1738425723.610217,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,11,gnb,response,,0.020210981369018555
22,1738425723.6295028,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,12,gnb,request,,0.019929885864257812
23,1738425723.6301978,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,12,gnb,response,,0.019980669021606445
24,1738425723.6295178,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,13,gnb,request,,1.5020370483398438e-05
25,1738425723.6302156,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,13,gnb,response,,1.7881393432617188e-05
26,1738425723.6492743,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,14,gnb,request,,0.019756555557250977
27,1738425723.6499467,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,14,gnb,response,,0.01973104476928711
28,1738425723.6693127,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,15,gnb,request,,0.020038366317749023
29,1738425723.6699927,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,15,gnb,response,,0.020045995712280273
30,1738425723.669318,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,16,gnb,request,,5.245208740234375e-06
31,1738425723.6700037,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,16,gnb,response,,1.0967254638671875e-05
